中文表名,英文表名,schema,业务域分类,来源系统候选,是否最上游源表,目录分类,数仓层线索,负责人,行数,更新时间,产出任务,被路径任务读取,路径示例
货品型号始发地,huopinxinghaoshifadi,dev,公共维表/成本/组织,库表迁移,是,源表,不规范命名,包彦,0.0,2026-04-15 13:27:46,"货品型号始发地【迁移】(wB80eUhvdf, 库表迁移)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
ODS_售后列表信息表(抖店API),ods_api_dd_after_sale_list_info_du,dev,抖音主题,抖店/API,是,源表,ods,包彦,0.0,2025-12-02 02:23:50,"ODS_售后列表信息表(抖店API)【连接器】(teQTjNS2jo, 连接器接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
ODS_查询店铺联盟订单信息表(抖店API),ods_api_dd_buyin_query_shop_alliance_order_info_du,cubeappdata,抖音主题,抖店/API,是,源表,ods,包彦,339788.0,2026-07-18 02:24:12,"ODS_查询店铺联盟订单信息表(抖店API)【连接器】(QqqmUEVmQ7, 连接器接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
ODS_商品详情信息表(抖店API),ods_api_dd_product_detail_info_du,dev,抖音主题,抖店/API,是,源表,ods,包彦,0.0,2025-12-02 02:10:59,"ODS_商品详情信息表(抖店API)【连接器】(7iATpCqsy1, 连接器接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> 4sMhrTjpMW -> yhAjbzPaTp -> CTuKHcQM5w -> PmgpigAQRE -> qhv7swmY4l
ODS_销售订单列表信息表(抖店API),ods_api_dd_sale_order_list_info_du,dev,抖音主题,抖店/API,是,源表,ods,包彦,0.0,2025-12-02 02:02:55,"ODS_销售订单列表信息表(抖店API)【连接器】(mnMTqusbga, 连接器接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> nhgdWWKApC -> 994SOzLTQV -> 5aMpRAhBmy -> M8qi0iwCWh -> 6M8cE9aaiA -> jK2dakuj7Q
ODS_商家结算账单信息表(抖店API),ods_api_dd_settle_bill_detail_info_du,cubeappdata,抖音主题,抖店/API,是,源表,ods,包彦,537198.0,2026-07-18 10:04:33,"ODS_商家结算账单信息表(抖店API)【连接器】(nn44PwEKsM, 连接器接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
ODS_资金流水信息表(抖店API),ods_api_dd_shop_account_item_info_du,dev,抖音主题,抖店/API,是,源表,ods,包彦,0.0,2025-12-02 03:15:24,"ODS_资金流水信息表(抖店API)【连接器】(wCq4hwM63h, 连接器接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
ODS_部门信息表(钉钉API),ods_api_dingtalk_dept_info_du,cubeappdata,公共维表/成本/组织,钉钉/API,是,源表,ods,管理员,30142.0,2026-07-18 02:14:02,"ODS_部门信息表(钉钉API)【连接器】(LwwtcWiARk, 连接器接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 6p4aMPhpIB -> dbcHW02Vp0 -> nuSN8563RV -> eAWHKCeJXl -> oi6J9yuQH8 -> t4O2bq0buA -> TRAl2GEgxB -> LwwtcWiARk
ODS_部门信息表(钉钉API),ods_api_dingtalk_dept_info_f,cubeappdata,公共维表/成本/组织,钉钉/API,是,源表,ods,管理员,169.0,2026-07-18 02:14:56,"ods_api_dingtalk_dept_info_f【EtlDevelop任务】(TRAl2GEgxB, etl开发任务)",ods_api_dingtalk_dept_info_f【EtlDevelop任务】(TRAl2GEgxB),Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 6p4aMPhpIB -> dbcHW02Vp0 -> nuSN8563RV -> eAWHKCeJXl -> oi6J9yuQH8 -> t4O2bq0buA -> TRAl2GEgxB
ODS_用户信息表(钉钉API),ods_api_dingtalk_user_info_du,cubeappdata,公共维表/成本/组织,钉钉/API,是,源表,ods,管理员,93338.0,2026-07-18 02:32:08,"ODS_用户信息表(钉钉API)【连接器】(qReKNAgWLw, 连接器接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 6p4aMPhpIB -> dbcHW02Vp0 -> nuSN8563RV -> eAWHKCeJXl -> oi6J9yuQH8 -> t4O2bq0buA -> 1Semn2dteT -> NWgJ6lDXr9
ODS_用户信息表(钉钉API),ods_api_dingtalk_user_info_f,dev,公共维表/成本/组织,钉钉/API,是,源表,ods,管理员,0.0,2024-08-16 10:57:21,"ods_api_dingtalk_user_info_f【EtlDevelop任务】(NWgJ6lDXr9, etl开发任务)",ods_api_dingtalk_user_info_f【EtlDevelop任务】(NWgJ6lDXr9),Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 6p4aMPhpIB -> dbcHW02Vp0 -> nuSN8563RV -> eAWHKCeJXl -> oi6J9yuQH8 -> t4O2bq0buA -> 1Semn2dteT -> NWgJ6lDXr9
ODS_抖音账号信息表(巨量千川API),ods_api_jlqc_douyin_account_info_du,dev,抖音主题,巨量千川/投放,是,源表,ods,包彦,0.0,2026-05-28 18:15:16,"ODS_抖音账号信息表(巨量千川API)【连接器】(ahuGb3XnjE, 连接器接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> nhgdWWKApC -> qjk10d4W7h -> bI86bM7BvJ -> qBO2jNZBhK -> K1gH9SHZT5 -> 8iqyOpnfDY
ODS_直播间列表信息表(巨量千川API),ods_api_jlqc_live_list_info_du,dev,抖音主题,巨量千川/投放,是,源表,ods,包彦,0.0,2026-05-28 18:16:59,"ODS_直播间列表信息表(巨量千川API)【连接器】(2JAh8JnGKf, 连接器接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> nhgdWWKApC -> qjk10d4W7h -> bI86bM7BvJ -> qBO2jNZBhK -> K1gH9SHZT5 -> 8iqyOpnfDY
ODS_全域推广乘方直播间抖音号数据信息表(巨量千川API),ods_api_jlqc_uni_overall_roi_live_aweme_info_du,cubeappdata,抖音主题,巨量千川/投放,是,源表,ods,包彦,28.0,2026-07-17 05:02:52,"ODS_全域推广乘方直播间抖音号数据信息表(巨量千川API)【连接器】(S7sbIPZs12, 连接器接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> nhgdWWKApC -> qjk10d4W7h -> bI86bM7BvJ -> qBO2jNZBhK -> K1gH9SHZT5 -> S7sbIPZs12
ODS_全域推广乘方商品商品数据信息表(巨量千川API),ods_api_jlqc_uni_overall_roi_product_product_info_du,cubeappdata,抖音主题,巨量千川/投放,是,源表,ods,包彦,353.0,2026-07-06 05:00:48,"ODS_全域推广乘方商品商品数据信息表(巨量千川API)【连接器】(tVwHPS1VgT, 连接器接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> nhgdWWKApC -> qjk10d4W7h -> bI86bM7BvJ -> qBO2jNZBhK -> K1gH9SHZT5 -> tVwHPS1VgT
ODS_全域推广报告信息表(巨量千川API)_旧,ods_api_jlqc_uni_promition_report_info_du_old,cubeappdata,抖音主题,巨量千川/投放,是,源表,ods,包彦,16588.0,2026-07-18 10:02:03,"ODS_全域推广报告信息表(巨量千川API)【连接器】(MegrZkwZoP, 连接器接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> nhgdWWKApC -> W5WDKhMdo4 -> sD6L0X74Ag -> srspReyO40 -> 3HaOI1YTSj -> 0C42m71eLb
ODS_全域推广直播间维度信息表(巨量千川API),ods_api_jlqc_uni_promition_root_report_info_du,dev,抖音主题,巨量千川/投放,是,源表,ods,包彦,0.0,2026-05-28 17:30:03,"ODS_全域推广直播间维度信息表(巨量千川API)【连接器】(TJgtI2jvcD, 连接器接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> nhgdWWKApC -> qjk10d4W7h -> bI86bM7BvJ -> qBO2jNZBhK -> K1gH9SHZT5 -> TJgtI2jvcD
ODS_全域推广商品全域商品数据信息表(巨量千川API),ods_api_jlqc_uni_promotion_product_product_info_du,cubeappdata,抖音主题,巨量千川/投放,是,源表,ods,包彦,4249.0,2026-07-18 02:23:47,"ODS_全域推广商品全域商品数据信息表(巨量千川API)【连接器】(Jxeq32pjP3, 连接器接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> nhgdWWKApC -> qjk10d4W7h -> bI86bM7BvJ -> qBO2jNZBhK -> K1gH9SHZT5 -> Jxeq32pjP3
ODS_退货退款归档信息表(聚水潭标准API),ods_api_jstbz_archive_refund_info_du,cubeappdata,公共维表/成本/组织,聚水潭/ERP,是,源表,ods,管理员,957472.0,2026-01-14 22:50:24,"ODS_退货退款归档信息表(聚水潭标准API)【连接器】(iEgVkvwnz0, 连接器接入)；ODS_退货退款归档信息表(聚水潭标准API)【连接器】time(QqwLXdfOdW, 连接器接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
ODS_销售订单归档信息表(聚水潭标准API),ods_api_jstbz_archive_sale_order_info_du,cubeappdata,公共维表/成本/组织,聚水潭/ERP,是,源表,ods,管理员,6565279.0,2026-01-14 22:55:55,"ODS_销售订单归档信息表(聚水潭标准API)【连接器】(83awJZVS9B, 连接器接入)；ODS_销售订单归档信息表(聚水潭标准API)【连接器】(wc82tqkND8, 连接器接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
ODS_商品历史成本价信息表(聚水潭标准API),ods_api_jstbz_product_history_cost_price_info_du,cubeappdata,公共维表/成本/组织,聚水潭/ERP,是,源表,ods,管理员,47933.0,2026-07-18 02:24:33,"ODS_商品历史成本价信息表(聚水潭标准API)【连接器】(CwKoF1SXBd, 连接器接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
ODS_商品历史成本价信息表(聚水潭标准API),ods_api_jstbz_product_history_cost_price_info_f,cubeappdata,公共维表/成本/组织,聚水潭/ERP,是,源表,ods,管理员,245.0,2026-07-18 02:24:54,"ods_api_jstbz_product_history_cost_price_info_f【EtlDevelop任务】(0ccP8y2dQJ, etl开发任务)",ods_api_jstbz_product_history_cost_price_info_f【EtlDevelop任务】(0ccP8y2dQJ),Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
ODS_商品SKU信息表(聚水潭标准API),ods_api_jstbz_product_sku_info_du,cubeappdata,公共维表/成本/组织,聚水潭/ERP,是,源表,ods,管理员,589251.0,2026-07-18 02:30:17,"ODS_商品SKU信息表(聚水潭标准API)【连接器】(XKQ97xGdsh, 连接器接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> nhgdWWKApC -> 994SOzLTQV -> 5aMpRAhBmy -> M8qi0iwCWh -> pmMzApalZx -> N4uyZn2Brb
ODS_商品SKU信息表(聚水潭标准API),ods_api_jstbz_product_sku_info_f,cubeappdata,公共维表/成本/组织,聚水潭/ERP,是,源表,ods,管理员,49615.0,2026-07-18 02:30:23,"ods_api_jstbz_product_sku_info_f【EtlDevelop任务】(4v6XI21730, etl开发任务)",ods_api_jstbz_product_sku_info_f【EtlDevelop任务】(4v6XI21730),Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> nhgdWWKApC -> 994SOzLTQV -> 5aMpRAhBmy -> M8qi0iwCWh -> pmMzApalZx -> N4uyZn2Brb
ODS_退货退款信息表(聚水潭标准API),ods_api_jstbz_refund_info_du,cubeappdata,公共维表/成本/组织,聚水潭/ERP,是,源表,ods,管理员,2815637.0,2026-07-18 02:30:12,"ODS_退货退款信息表(聚水潭标准API)【连接器】(kXaMH3rQLM, 连接器接入)；ODS_退货退款信息表(聚水潭标准API)【连接器】(woK8uNOpaP, 连接器接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
ODS_组合商品信息表(聚水潭标准API),ods_api_jstbz_suite_product_info_du,cubeappdata,公共维表/成本/组织,聚水潭/ERP,是,源表,ods,管理员,5593.0,2026-07-18 01:00:16,"ODS_组合商品信息表(聚水潭标准API)【连接器】(mZ88vVf1yI, 连接器接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> nhgdWWKApC -> 994SOzLTQV -> 5aMpRAhBmy -> M8qi0iwCWh -> pmMzApalZx -> N4uyZn2Brb
ODS_组合商品信息表(聚水潭标准API),ods_api_jstbz_suite_product_info_f,dev,公共维表/成本/组织,聚水潭/ERP,是,源表,ods,管理员,0.0,2024-08-12 16:23:47,"ods_api_jstbz_suite_product_info_f【EtlDevelop任务】(Qoa4SEgNmZ, etl开发任务)",ods_api_jstbz_suite_product_info_f【EtlDevelop任务】(Qoa4SEgNmZ),Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> nhgdWWKApC -> 994SOzLTQV -> 5aMpRAhBmy -> M8qi0iwCWh -> pmMzApalZx -> N4uyZn2Brb
ODS_退货退款归档信息表(聚水潭奇门API),ods_api_jstqm_archive_refund_info_du,cubeappdata,公共维表/成本/组织,聚水潭/ERP,是,源表,ods,管理员,2406494.0,2026-01-17 12:05:42,"ODS_退货退款归档信息表(聚水潭奇门API)【连接器】TS(SkOGv7pyrT, 连接器接入)；ODS_退货退款归档信息表(聚水潭奇门API)【连接器】【可以手动执行】time(ELOKxBUiKr, 连接器接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
ODS_销售订单归档信息表(聚水潭奇门API),ods_api_jstqm_archive_sale_order_info_du,cubeappdata,公共维表/成本/组织,聚水潭/ERP,是,源表,ods,管理员,16040926.0,2026-01-05 09:13:22,"ODS_销售订单归档信息表(聚水潭奇门API)【连接器】(UCsjG7YkuZ, 连接器接入)；ODS_销售订单归档信息表(聚水潭奇门API)【连接器】【可手动执行】(tuQPNjntK5, 连接器接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
ODS_销售订单归档信息表(聚水潭奇门API),ods_api_jstqm_archive_sale_order_info_f,dev,公共维表/成本/组织,聚水潭/ERP,是,源表,ods,管理员,0.0,2024-08-13 15:49:21,"ods_api_jstqm_archive_sale_order_info_f【EtlDevelop任务】(RCAvJGRCIk, etl开发任务)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
ODS_退货退款信息表(聚水潭奇门API),ods_api_jstqm_refund_info_du,cubeappdata,公共维表/成本/组织,聚水潭/ERP,是,源表,ods,管理员,4631538.0,2026-07-18 02:30:42,"ODS_退货退款信息表(聚水潭奇门API)【连接器】[不能手动补数据](3YsVlPuyGI, 连接器接入)；ODS_退货退款信息表(聚水潭奇门API)【连接器】(JOg5nfEKhw, 连接器接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
ODS_退货退款信息表(聚水潭奇门API),ods_api_jstqm_refund_info_f,dev,公共维表/成本/组织,聚水潭/ERP,是,源表,ods,管理员,0.0,2025-01-10 14:33:02,"ods_api_jstqm_refund_info_f【EtlDevelop任务】(mT4yyoaTaE, etl开发任务)",ods_api_jstqm_refund_info_f【EtlDevelop任务】(mT4yyoaTaE),Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
ODS_退货退款信息表_实时(聚水潭奇门API),ods_api_jstqm_refund_info_f_ss,cubeappdata,公共维表/成本/组织,聚水潭/ERP,是,源表,ods,管理员,3468402.0,2026-07-18 02:32:49,"ods_api_jstqm_refund_info_f_ss【EtlDevelop任务】(BxO04KZGrR, etl开发任务)",ods_api_jstqm_refund_info_f_ss【EtlDevelop任务】(BxO04KZGrR),Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
ODS_销售订单信息表(聚水潭奇门API),ods_api_jstqm_sale_order_info_du,dev,公共维表/成本/组织,聚水潭/ERP,是,源表,ods,管理员,0.0,2025-12-13 13:44:07,"ODS_销售订单信息表(聚水潭奇门API)【连接器】（更新时间取数-可以补数据）(MvuyryYfyY, 连接器接入)；ODS_销售订单信息表(聚水潭奇门API)【连接器】（TS取数-不可以手动补数）(1uqq0xic00, 连接器接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
ODS_销售订单信息表(聚水潭奇门API),ods_api_jstqm_sale_order_info_f,cubeappdata,公共维表/成本/组织,聚水潭/ERP,是,源表,ods,管理员,23651665.0,2026-07-18 03:25:19,"ods_api_jstqm_sale_order_info_f【EtlDevelop任务】(9hARYiuSyx, etl开发任务)",ods_api_jstqm_sale_order_info_f【EtlDevelop任务】(9hARYiuSyx),Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
ODS_抖音_直播间人力成本支出_填报,ods_douyin_live_room_labor_cost_entry,cubeappdata,抖音主题,填报,是,源表,ods,包彦,276.0,2026-07-18 05:00:14,"支出明细（钉钉表格）【在线表格接入】(xJeIQ69bSX, 在线表格接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
