中文表名,英文表名,schema,业务域分类,来源系统候选,是否最上游源表,目录分类,判断原因,数仓层线索,负责人,行数,更新时间,产出任务,被路径任务读取,路径示例
ODS_商品SKU信息表(聚水潭标准API),ods_api_jstbz_product_sku_info_f,cubeappdata,公共维表/成本/组织,聚水潭/ERP,是,源表,尾部为 _f，全量表；按要求作为源表候选,ods,管理员,49615.0,2026-07-18 02:30:23,"ods_api_jstbz_product_sku_info_f【EtlDevelop任务】(4v6XI21730, etl开发任务)",ods_api_jstbz_product_sku_info_f【EtlDevelop任务】(4v6XI21730),Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> nhgdWWKApC -> 994SOzLTQV -> 5aMpRAhBmy -> M8qi0iwCWh -> pmMzApalZx -> N4uyZn2Brb
ODS_组合商品信息表(聚水潭标准API),ods_api_jstbz_suite_product_info_f,cubeappdata,公共维表/成本/组织,聚水潭/ERP,是,源表,尾部为 _f，全量表；按要求作为源表候选,ods,管理员,11499.0,2026-07-18 01:00:30,"ods_api_jstbz_suite_product_info_f【EtlDevelop任务】(Qoa4SEgNmZ, etl开发任务)",ods_api_jstbz_suite_product_info_f【EtlDevelop任务】(Qoa4SEgNmZ),Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> nhgdWWKApC -> 994SOzLTQV -> 5aMpRAhBmy -> M8qi0iwCWh -> pmMzApalZx -> N4uyZn2Brb
ODS_销售订单归档信息表(聚水潭奇门API),ods_api_jstqm_archive_sale_order_info_f,cubeappdata,公共维表/成本/组织,聚水潭/ERP,是,源表,尾部为 _f，全量表；按要求作为源表候选,ods,管理员,32511821.0,2026-05-06 19:01:51,"ods_api_jstqm_archive_sale_order_info_f【EtlDevelop任务】(RCAvJGRCIk, etl开发任务)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
ODS_退货退款信息表(聚水潭奇门API),ods_api_jstqm_refund_info_f,cubeappdata,公共维表/成本/组织,聚水潭/ERP,是,源表,尾部为 _f，全量表；按要求作为源表候选,ods,管理员,3468402.0,2026-07-18 02:32:06,"ods_api_jstqm_refund_info_f【EtlDevelop任务】(mT4yyoaTaE, etl开发任务)",ods_api_jstqm_refund_info_f【EtlDevelop任务】(mT4yyoaTaE),Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
ODS_销售订单信息表(聚水潭奇门API),ods_api_jstqm_sale_order_info_f,cubeappdata,公共维表/成本/组织,聚水潭/ERP,是,源表,尾部为 _f，全量表；按要求作为源表候选,ods,管理员,23651665.0,2026-07-18 03:25:19,"ods_api_jstqm_sale_order_info_f【EtlDevelop任务】(9hARYiuSyx, etl开发任务)",ods_api_jstqm_sale_order_info_f【EtlDevelop任务】(9hARYiuSyx),Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
ODS_在售商品列表信息表(淘宝API),ods_api_tb_onsale_item_list_info_f,cubeappdata,跨域天猫/淘宝,淘宝/API,是,源表,尾部为 _f，全量表；按要求作为源表候选,ods,管理员,2182.0,2026-07-18 01:04:16,"ods_api_tb_onsale_item_list_info_f【EtlDevelop任务】(O6cneC00Zq, etl开发任务)",ods_api_tb_onsale_item_list_info_f【EtlDevelop任务】(O6cneC00Zq),Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
api授权信息,ods_db_cube_dc_auth_api_config_detail_info_f,cubeappdata,待确认域,库表迁移,是,源表,尾部为 _f，全量表；按要求作为源表候选,ods,管理员,43.0,2026-07-18 03:00:07,"api授权信息【迁移】(vHgxKz9dop, 库表迁移)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> nhgdWWKApC -> qjk10d4W7h -> bI86bM7BvJ -> qBO2jNZBhK -> K1gH9SHZT5 -> vHgxKz9dop
ODS_抖音_直播间人力成本支出_填报,ods_douyin_live_room_labor_cost_entry,cubeappdata,抖音主题,填报,是,源表,产出任务类型为接入/迁移类：在线表格接入,ods,包彦,276.0,2026-07-18 05:00:14,"支出明细（钉钉表格）【在线表格接入】(xJeIQ69bSX, 在线表格接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
ODS_抖音_直播间主链接映射_填报,ods_douyin_live_room_main_link_detail_entry,cubeappdata,抖音主题,填报,是,源表,产出任务类型为接入/迁移类：在线表格接入,ods,包彦,20.0,2026-07-18 05:00:09,"直播链接（钉钉表格）【在线表格接入】(pUeSXt1NWn, 在线表格接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> nhgdWWKApC -> qjk10d4W7h -> bI86bM7BvJ -> qBO2jNZBhK -> K1gH9SHZT5 -> pUeSXt1NWn
ODS_抖音_全域投放推商品_RPA,ods_douyinanshangpintuiguangshuju,cubeappdata,抖音主题,影刀/RPA,是,源表,产出任务类型为接入/迁移类：库表迁移,ods,包彦,85275.0,2026-04-22 11:31:00,"ods-抖音全域按商品推广数据【迁移】(00uSPqQxB9, 库表迁移)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> nhgdWWKApC -> W5WDKhMdo4 -> sD6L0X74Ag -> srspReyO40 -> 3HaOI1YTSj -> sX484NOPO3
ODS_抖音好评数据_填报,ods_dyhaopingshuju,cubeappdata,抖音主题,填报,是,源表,产出任务类型为接入/迁移类：库表迁移,ods,包彦,1789.0,2025-11-14 19:32:13,"ods_抖音好评数据【迁移】(Z3M1lFdITy, 库表迁移)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
ODS_抖音刷单数据_填报,ods_dyshuandanshuju,cubeappdata,抖音主题,填报,是,源表,产出任务类型为接入/迁移类：库表迁移,ods,包彦,1222.0,2025-11-14 19:36:48,"ods_抖音刷单数据【迁移】(JoeKH6qxcq, 库表迁移)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
拼多多2023助攻数据,pdd2023zhugongshuju,cubeappdata,跨域拼多多,库表迁移,是,源表,产出任务类型为接入/迁移类：库表迁移,不规范命名,包彦,92558.0,2026-01-15 18:05:36,"拼多多2023助攻数据【迁移】(kl46re5o3z, 库表迁移)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
ODS_拼多多售后数据,pinduoduoshoushoushuju,cubeappdata,跨域拼多多,库表迁移,是,源表,产出任务类型为接入/迁移类：库表迁移,不规范命名,包彦,2695621.0,2026-07-18 08:12:10,"ODS_拼多多售后数据【迁移】(q340kVIT8D, 库表迁移)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
STD_商品历史成本表(聚水潭标准API),std_api_jstbz_product_history_cost_info_f,cubeappdata,公共维表/成本/组织,聚水潭/ERP,是,源表,尾部为 _f，全量表；按要求作为源表候选,std,管理员,168166.0,2026-07-18 02:30:44,"std_api_jstbz_product_history_cost_info_f【EtlDevelop任务】(bT8csKdyGj, etl开发任务)",std_api_jstbz_product_history_cost_info_f【EtlDevelop任务】(bT8csKdyGj),Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
拼多多佑美助攻数据,youmeizhugong,cubeappdata,跨域拼多多,库表迁移,是,源表,产出任务类型为接入/迁移类：库表迁移,不规范命名,包彦,1210.0,2026-04-10 11:07:49,"拼多多佑美助攻数据【迁移】(aFcz2q540E, 库表迁移)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
